N,GPU_Total,GPU_Compute,GPU_Transfer,GPU_Bucket,GPU_Window
64,100956,16916,64,978,15938
128,14126,13868,51,50,13818
256,16404,16131,53,61,16070
512,18622,18330,53,96,18234
1024,19826,19475,75,155,19320
2048,20193,19745,96,220,19525
4096,20461,19862,143,334,19528
8192,21048,20120,237,591,19529
16384,22199,20586,476,1058,19528
32768,25459,21703,789,1911,19792
65536,30518,23351,1471,3574,19777
131072,40929,26549,2953,6773,19776
262144,61741,32961,5585,13174,19787
524288,102902,46155,11239,26370,19785
1048576,189568,71231,22233,51446,19785
2097152,358406,121624,44775,101842,19782
3000000,562269,162918,63096,143728,19190
4194304,726172,221495,116329,201709,19786
6000000,1117222,304365,150227,285578,18787
8388608,1387331,413382,200261,394597,18785
12000000,2179365,573576,275263,554831,18745
16777216,2712983,788430,369579,769642,18788
