N,GPU_Total,GPU_Compute,GPU_Transfer,GPU_Bucket,GPU_Window
64,99219,951,39,910,41
128,7144,4,21,3,1
256,8327,5,23,4,1
512,9414,5,25,4,1
1024,10078,5,26,4,1
2048,10374,5,34,4,1
4096,10650,23,49,4,19
8192,11115,5,81,4,1
16384,12236,7,167,6,1
32768,15279,12,422,10,2
65536,20453,16,1162,13,3
131072,31121,16,2711,13,3
262144,52702,16,5433,13,3
524288,95490,16,10871,13,3
1048576,202772,16,21844,13,3
2097152,405031,16,44257,13,3
3000000,611999,14,62615,11,3
4194304,794856,15,115628,12,3
6000000,1208586,20,144301,16,4
8388608,1539484,18,192670,15,3
