N,GPU_Total,GPU_Compute,GPU_Transfer,GPU_Bucket,GPU_Window
64,104447,1107,42,1060,47
128,7197,5,23,3,2
256,8342,5,23,3,2
512,9451,6,29,4,2
1024,10142,8,31,7,1
2048,10422,7,38,5,2
4096,10735,8,62,6,2
8192,11138,7,73,5,2
16384,12436,9,213,7,2
32768,15686,16,446,13,3
65536,20779,17,1133,14,3
131072,31937,17,2635,14,3
262144,52365,17,5523,14,3
524288,95154,18,10992,15,3
1048576,197312,15,21934,12,3
2097152,385299,16,43728,13,3
3000000,603141,16,62668,13,3
4194304,774533,17,101211,14,3
6000000,1217510,17,143517,14,3
8388608,1536967,23,199098,20,3
12000000,2399042,18,273269,15,3
16777216,3042038,19,368924,16,3
