N,GPU_Total,GPU_Compute,GPU_Transfer,GPU_Bucket,GPU_Window
64,4620,4567,31,992,3575
128,3808,3763,24,31,3732
256,3534,3488,26,38,3450
512,2789,2741,29,51,2690
1024,2826,2773,34,84,2689
2048,2611,2539,53,107,2432
4096,2703,2593,91,169,2424
8192,2918,2726,173,292,2434
16384,3210,2959,231,530,2429
32768,3834,3393,422,966,2427
65536,5072,4224,827,1799,2425
131072,7487,5821,1646,3387,2434
262144,12625,9193,3410,6768,2425
524288,22658,15715,6921,13288,2427
1048576,41749,28208,13518,25780,2428
2097152,80712,53396,27293,50970,2426
3000000,114153,75232,38897,72807,2425
4194304,157791,104120,53647,101688,2432
6000000,223559,146830,76708,144403,2427
8388608,306587,199020,107543,196696,2324
12000000,439602,283743,155816,279096,4647
16777216,614161,395988,218125,391342,4646
