N,GPU_Total_single,GPU_Compute_single,GPU_Transfer_single,GPU_Bucket_single,GPU_Window_single,GPU_Total_multi,GPU_Compute_multi,GPU_Transfer_multi,GPU_Bucket_multi,GPU_Window_multi,Total_Speedup,Compute_Speedup,Transfer_Ratio
64,4640,4599,41,1021,3578,104447,1107,42,1060,47,0.044424444933794174,4.154471544715447,1.024390243902439
128,3789,3768,21,33,3735,7197,5,23,3,2,0.5264693622342643,753.6,1.0952380952380953
256,3339,3319,20,40,3279,8342,5,23,3,2,0.40026372572524577,663.8,1.15
512,2770,2749,21,51,2698,9451,6,29,4,2,0.29309067823510737,458.1666666666667,1.380952380952381
1024,2805,2777,28,86,2691,10142,8,31,7,1,0.2765726681127983,347.125,1.1071428571428572
2048,2584,2534,50,108,2426,10422,7,38,5,2,0.24793705622721166,362.0,0.76
4096,2673,2598,75,171,2427,10735,8,62,6,2,0.2489986027014439,324.75,0.8266666666666667
8192,2878,2724,154,293,2431,11138,7,73,5,2,0.25839468486263245,389.14285714285717,0.474025974025974
16384,3207,2968,239,532,2436,12436,9,213,7,2,0.25788034737857835,329.77777777777777,0.891213389121339
32768,3844,3407,437,968,2439,15686,16,446,13,3,0.2450592885375494,212.9375,1.0205949656750573
65536,5080,4228,852,1800,2428,20779,17,1133,14,3,0.24447759757447424,248.7058823529412,1.32981220657277
131072,7451,5817,1634,3390,2427,31937,17,2635,14,3,0.233303065410026,342.1764705882353,1.6126070991432069
262144,12584,9213,3371,6784,2429,52365,17,5523,14,3,0.2403131862885515,541.9411764705883,1.638386235538416
524288,22612,15747,6865,13318,2429,95154,18,10992,15,3,0.23763583244004455,874.8333333333334,1.6011653313911143
1048576,42498,28222,14276,25793,2429,197312,15,21934,12,3,0.2153847713266299,1881.4666666666667,1.5364247688428132
2097152,79601,53477,26124,51048,2429,385299,16,43728,13,3,0.2065953973407665,3342.3125,1.6738631143775837
3000000,112186,75224,36962,72796,2428,603141,16,62668,13,3,0.1860029412691228,4701.5,1.6954710242952222
4194304,162518,103595,58923,101167,2428,774533,17,101211,14,3,0.20982708290027668,6093.823529411765,1.7176823990631842
6000000,231493,144512,86981,142187,2325,1217510,17,143517,14,3,0.19013642598418082,8500.70588235294,1.6499810303399594
8388608,313538,196653,116885,194330,2323,1536967,23,199098,20,3,0.2039978737344393,8550.130434782608,1.7033665568721392
